name,gender,bdate,bweekday,height,blood_type,bnt_1,bnt_2,bnt_3,bnt_4,g_iq,s_iq
V.O.,male,1977-07-25,Mon,186,O+,0,0,1,0,108,94
M.E.,female,1951-02-22,Thu,149,O+,0,0,0,1,95,118
C.E.,male,1954-08-31,Tue,164,AB+,0,0,0,0,99,94
A.S.,female,1965-10-10,Sun,146,A+,0,1,0,0,96,114
T.W.,male,1939-06-27,Tue,189,B+,1,0,1,0,87,95
L.K.,male,1975-06-02,Mon,174,B+,0,1,1,1,NA,96
P.V.,male,1996-02-01,Thu,197,O+,NA,1,0,0,86,81
U.I.,female,1993-06-18,Fri,165,A−,1,0,NA,0,95,107
Y.Q.,female,1954-02-22,Mon,145,A+,1,0,1,1,109,117
L.P.,male,1985-11-21,Thu,193,A+,1,0,0,0,96,108
H.S.,male,2000-04-08,Sat,174,A+,0,1,1,0,121,90
Y.R.,female,1940-07-19,Fri,161,A+,0,0,NA,0,107,123
E.J.,female,1973-08-16,Thu,148,A+,0,1,1,0,109,102
D.C.,female,1932-10-30,Sun,146,O+,1,1,1,0,117,120
H.V.,female,1973-01-07,Sun,167,A+,1,0,0,0,99,115
Z.L.,male,1941-02-11,Tue,167,O+,0,0,0,1,90,103
F.Z.,male,1992-07-20,Mon,197,AB+,1,1,1,1,106,88
R.H.,female,1968-05-24,Fri,160,B+,1,1,0,1,99,107
D.P.,male,1979-11-18,Sun,161,A+,1,1,0,0,96,106
D.U.,female,1993-07-20,Tue,171,A+,1,1,1,0,103,85
J.Y.,female,1985-08-10,Sat,158,O+,1,0,0,1,115,109
X.V.,female,1991-02-18,Mon,172,A+,1,NA,0,0,96,105
I.W.,female,1954-04-10,Sat,161,A+,1,1,1,0,111,106
U.P.,male,1930-10-26,Sun,157,A+,0,1,1,0,105,100
B.K.,male,1973-08-29,Wed,185,B+,0,0,1,0,NA,97
I.T.,female,1956-03-16,Fri,163,A−,1,0,0,0,98,108
F.H.,male,1947-01-21,Tue,183,A+,1,1,0,1,87,92
J.Q.,male,1926-04-15,Thu,146,B−,1,1,1,0,101,90
X.T.,male,1954-12-07,Tue,167,O+,0,1,0,0,101,102
L.A.,female,1999-12-05,Sun,169,A−,0,1,1,0,103,106
O.L.,female,1972-02-22,Tue,172,A+,1,0,0,0,89,102
P.Y.,female,1966-05-08,Sun,160,AB−,1,0,0,1,99,102
H.R.,female,1974-01-14,Mon,156,O+,0,1,1,0,97,124
B.B.,male,1992-07-22,Wed,183,A+,0,0,1,0,107,95
J.H.,male,1980-08-26,Tue,171,O−,0,0,0,0,109,77
O.J.,female,1941-08-30,Sat,152,O−,0,1,0,0,93,87
V.Q.,male,1969-08-07,Thu,146,A+,0,1,1,NA,96,94
K.H.,female,1988-10-29,Sat,161,O+,1,0,1,1,115,108
J.S.,female,1994-02-03,Thu,148,A−,1,0,0,1,91,90
Y.U.,female,1993-11-19,Fri,173,O+,0,0,0,1,101,103
F.S.,male,2000-03-28,Tue,195,O−,1,1,0,0,88,99
R.S.,female,1972-01-12,Wed,174,A−,1,1,0,1,107,101
H.S.,male,1966-04-25,Mon,182,A+,1,0,1,0,91,101
R.B.,female,1955-02-26,Sat,159,A+,0,1,1,1,97,107
B.H.,male,1944-06-19,Mon,166,O+,1,0,1,0,92,104
H.Y.,male,1950-03-03,Fri,186,O+,0,1,0,1,93,109
K.J.,female,1985-05-27,Mon,166,A+,1,1,0,0,96,125
V.W.,female,1965-11-27,Sat,172,O+,1,1,0,0,108,109
I.D.,female,1993-12-10,Fri,165,A−,0,1,1,0,93,103
Q.U.,male,1940-04-03,Wed,178,AB+,1,1,1,1,112,94
I.X.,male,1931-07-23,Thu,165,B+,0,0,0,NA,111,77
F.U.,male,1994-05-21,Sat,168,O+,1,1,0,0,101,100
T.X.,male,1959-05-12,Tue,166,O+,1,0,0,0,99,111
I.C.,female,1977-02-02,Wed,158,A+,1,1,0,0,98,101
X.Y.,female,1944-05-30,Tue,161,O+,0,1,0,0,96,103
R.T.,male,1987-08-27,Thu,182,A+,1,1,0,0,91,89
L.C.,male,1968-06-01,Sat,184,A+,1,1,1,1,113,78
R.T.,male,1984-05-16,Wed,168,A+,0,1,1,0,103,83
M.E.,female,1927-02-26,Sat,150,O−,1,0,1,0,107,99
R.G.,female,1972-07-11,Tue,165,A+,0,1,1,0,101,110
I.F.,male,1953-10-31,Sat,169,O+,0,0,0,1,99,94
A.J.,male,1973-02-27,Tue,186,A+,1,1,1,0,100,94
O.R.,female,1972-11-28,Tue,167,O+,0,1,NA,0,83,108
T.Y.,female,1970-11-18,Wed,158,A+,1,1,0,0,99,114
E.I.,male,1941-12-08,Mon,153,O+,0,0,1,0,95,107
D.Q.,female,1973-04-06,Fri,152,O+,1,1,1,1,118,87
I.Q.,male,1963-06-16,Sun,172,A+,1,1,NA,1,110,88
H.B.,female,1989-07-07,Fri,172,O+,0,0,0,0,99,92
R.T.,female,1970-02-16,Mon,163,B−,1,0,NA,0,97,103
O.O.,male,1993-07-16,Fri,194,B+,1,0,1,0,105,113
W.Q.,female,1959-03-22,Sun,160,O+,1,0,0,0,108,115
Y.Q.,female,1941-11-26,Wed,157,O+,1,1,0,1,103,100
M.Z.,male,1985-10-19,Sat,171,B+,0,1,1,0,100,100
M.R.,male,1949-04-26,Tue,169,O+,0,1,1,1,104,115
P.Y.,male,1959-03-18,Wed,174,A−,1,0,1,0,93,84
J.W.,female,1976-10-27,Wed,167,A+,1,1,0,0,98,115
L.M.,male,1966-07-19,Tue,185,A+,0,1,0,0,102,93
L.Q.,male,1960-06-09,Thu,170,O+,0,1,0,NA,99,95
P.U.,male,1997-04-29,Tue,195,O+,1,0,1,0,86,98
O.T.,male,1973-02-28,Wed,182,AB+,0,0,0,1,100,95
K.N.,female,1940-11-21,Thu,159,O+,0,1,0,1,85,107
N.Z.,female,1992-02-27,Thu,167,O+,0,1,0,1,86,120
L.Z.,male,1968-11-03,Sun,165,A+,0,0,0,1,104,103
U.N.,female,1990-12-31,Mon,155,O+,0,1,1,0,104,NA
N.X.,male,1980-03-17,Mon,160,A+,1,1,0,0,98,84
G.E.,female,1978-04-21,Fri,153,A+,0,1,0,0,108,105
K.N.,female,1982-09-22,Wed,149,O+,1,0,1,0,106,92
G.J.,male,1945-10-18,Thu,175,O+,0,1,1,0,82,102
P.F.,female,1948-11-15,Mon,151,O+,1,1,1,NA,107,115
U.Q.,male,1980-12-08,Mon,172,A+,0,1,1,0,95,107
T.L.,female,1971-06-20,Sun,165,O+,0,1,0,0,108,116
P.G.,male,1966-06-20,Mon,174,O+,0,1,1,1,107,89
M.E.,male,1972-10-23,Mon,170,A−,1,1,0,0,98,100
P.Y.,male,1956-04-22,Sun,169,A−,0,0,0,0,112,76
M.T.,male,1970-01-31,Sat,162,O+,0,0,1,0,99,96
A.E.,male,1964-04-14,Tue,162,A+,0,1,1,0,92,102
Q.E.,male,1974-09-07,Sat,173,A+,0,1,1,0,116,85
J.E.,female,1926-10-29,Fri,165,O−,0,1,1,1,98,107
X.G.,female,1957-01-06,Sun,154,O+,0,1,0,0,88,96
Z.A.,female,1965-05-13,Thu,157,A+,0,0,0,0,94,103
C.G.,female,1984-12-18,Tue,159,A+,0,1,0,1,NA,109
S.A.,female,1970-09-26,Sat,160,O+,0,1,0,0,115,99
O.R.,female,1958-07-05,Sat,170,A+,1,0,1,0,117,126
H.K.,male,1994-06-24,Fri,179,O+,1,0,1,0,100,91
T.Z.,female,1961-03-31,Fri,156,O+,1,1,0,1,102,105
T.P.,male,1993-01-05,Tue,169,O−,1,0,0,1,100,93
M.J.,female,1949-05-22,Sun,165,A+,1,0,1,1,114,110
J.F.,male,1977-01-12,Wed,167,B+,1,1,0,0,97,111
D.K.,female,1981-08-07,Fri,166,A+,0,0,0,0,105,103
G.S.,male,1963-09-20,Fri,181,A+,1,0,0,1,91,107
K.G.,male,1941-04-22,Tue,153,A+,1,1,0,1,97,NA
K.F.,male,1986-05-07,Wed,173,A+,1,0,0,1,107,84
V.N.,female,1964-11-03,Tue,167,O−,1,0,0,1,89,97
K.O.,female,1938-07-05,Tue,154,O+,1,0,1,1,91,117
Z.Q.,male,1992-01-20,Mon,171,O+,0,1,1,0,101,101
I.I.,male,1985-02-15,Fri,170,B+,1,0,1,1,102,97
Y.J.,male,1980-05-14,Wed,179,O+,0,1,1,0,104,89
O.N.,female,1951-03-17,Sat,167,O+,0,1,1,1,105,110
D.G.,male,1938-07-31,Sun,179,A+,1,1,1,0,132,76
S.H.,male,1926-09-23,Thu,166,O+,1,0,1,0,87,NA
N.H.,male,1978-08-23,Wed,155,A+,0,1,0,0,102,95
J.L.,female,1980-05-14,Wed,166,O+,0,1,1,1,111,103
U.N.,female,1965-06-25,Fri,161,A+,1,1,0,0,105,103
S.W.,female,1972-12-15,Fri,144,O−,1,0,1,1,107,98
V.K.,male,1965-12-05,Sun,169,A−,0,0,0,0,105,108
D.Q.,female,1979-11-18,Sun,161,A+,1,1,0,1,122,122
H.Y.,male,1980-07-12,Sat,162,A+,0,1,0,0,108,102
E.Z.,male,1940-10-24,Thu,155,O+,1,1,1,1,106,111
A.S.,female,1947-05-28,Wed,160,A+,0,1,0,0,114,93
Q.U.,female,1940-01-29,Mon,161,A+,1,1,0,0,100,110
X.N.,female,1957-01-26,Sat,151,A+,1,1,0,1,124,102
T.Y.,male,1973-03-27,Tue,161,A+,0,0,0,1,86,102
C.M.,male,1947-11-28,Fri,207,O+,1,0,1,0,101,107
F.Z.,male,1958-02-16,Sun,161,A+,1,0,0,0,94,101
A.F.,male,1960-11-11,Fri,150,O+,1,0,1,0,103,105
X.D.,female,1972-01-07,Fri,172,B+,0,1,0,0,103,115
J.E.,male,1949-12-25,Sun,168,O+,1,1,1,1,102,89
E.Z.,male,1983-01-27,Thu,187,A+,1,1,1,1,105,109
V.Y.,female,1934-04-10,Tue,152,B+,0,1,1,1,113,111
K.W.,male,1990-07-23,Mon,153,O+,1,0,1,1,119,93
B.H.,female,1968-03-16,Sat,159,B+,1,1,0,1,117,123
M.Q.,male,1940-12-12,Thu,150,A−,1,1,1,0,93,87
N.U.,female,1968-11-09,Sat,160,A+,1,1,1,1,115,112
O.J.,female,1990-10-20,Sat,163,O−,1,1,0,0,102,101
R.G.,male,1961-04-08,Sat,168,B+,1,1,1,0,120,99
G.N.,male,1986-05-04,Sun,172,A+,1,0,0,0,110,100
T.U.,male,1984-08-11,Sat,169,A+,0,1,0,0,115,100
C.P.,male,1954-02-22,Mon,186,A+,1,1,0,0,86,104
X.Q.,female,1992-11-27,Fri,167,O+,0,1,0,0,97,111
H.J.,male,1942-08-10,Mon,165,A+,0,1,1,0,105,102
R.X.,male,1951-02-24,Sat,174,O+,1,0,1,0,89,92
S.X.,female,1948-07-23,Fri,155,A+,1,0,0,0,101,111
J.W.,male,1932-05-23,Mon,175,O+,1,1,0,0,106,109
B.G.,female,1991-05-08,Wed,176,O+,1,1,0,0,95,119
J.J.,male,1958-08-21,Thu,167,O+,1,0,0,1,90,109
H.K.,male,1961-03-18,Sat,168,A+,0,0,0,0,99,107
J.H.,male,1992-12-09,Wed,177,O+,1,1,1,0,102,95
U.Z.,male,1997-08-24,Sun,169,O+,1,0,0,0,103,96
T.P.,female,1971-01-09,Sat,155,O+,0,0,0,1,98,123
P.P.,female,1962-09-21,Fri,162,B−,1,1,1,0,119,82
G.L.,female,1981-01-25,Sun,164,O+,1,0,1,0,104,113
Z.C.,female,1999-09-02,Thu,159,A+,0,1,1,0,100,100
B.M.,female,1976-01-23,Fri,156,A+,NA,0,1,1,105,111
B.Y.,male,1991-05-20,Mon,167,B+,1,1,0,0,99,89
Q.H.,male,1974-02-14,Thu,188,O+,1,0,1,0,91,94
Z.J.,male,1971-04-13,Tue,171,A+,1,0,1,1,91,113
J.I.,male,1963-06-02,Sun,178,B+,1,0,0,1,102,NA
C.P.,male,1954-04-29,Thu,162,O+,1,0,1,0,104,95
I.A.,male,1958-10-16,Thu,171,O−,0,1,0,1,97,95
Z.J.,male,1950-09-03,Sun,161,A+,1,0,1,1,115,101
F.T.,female,1973-02-24,Sat,175,A+,1,1,0,0,95,116
H.K.,female,1966-11-14,Mon,171,AB+,1,0,1,0,107,105
K.L.,female,1995-09-28,Thu,160,O+,1,0,0,0,97,125
U.F.,female,1944-11-22,Wed,148,A+,0,1,0,1,99,115
T.P.,female,1983-07-19,Tue,165,O+,1,1,0,0,NA,101
I.J.,male,1970-12-30,Wed,170,B+,0,0,1,0,103,96
A.M.,female,1951-09-18,Tue,160,A+,0,1,0,1,98,131
Z.A.,female,1967-05-23,Tue,144,O−,0,NA,0,0,96,97
C.L.,male,1996-04-19,Fri,175,O−,1,0,0,0,98,83
I.Z.,female,1936-09-13,Sun,167,A−,1,1,NA,0,110,109
P.T.,male,1972-04-20,Thu,189,A−,1,1,0,0,93,79
R.S.,female,1990-11-08,Thu,162,A+,0,1,1,1,103,104
C.F.,female,1983-08-07,Sun,147,O+,0,1,0,0,108,104
Q.Y.,male,1981-06-25,Thu,151,O+,1,1,0,0,100,90
V.A.,female,1959-03-31,Tue,156,O+,1,0,0,0,86,113
R.V.,female,1936-03-12,Thu,145,O+,NA,0,1,0,95,107
V.V.,female,1963-11-22,Fri,166,O+,1,0,0,0,98,117
E.C.,male,1949-12-23,Fri,177,A+,0,NA,0,0,98,105
L.P.,male,1964-03-17,Tue,173,O−,0,0,1,0,99,98
W.W.,female,1985-09-24,Tue,159,A+,0,1,1,0,85,119
S.Q.,female,1959-11-23,Mon,148,O+,1,1,1,1,106,115
R.W.,male,1994-09-27,Tue,182,O+,0,1,1,0,102,91
W.W.,female,1990-10-11,Thu,150,A+,0,1,0,0,95,123
I.O.,female,1968-10-16,Wed,151,A+,1,0,1,0,99,108
T.U.,female,1934-08-04,Sat,149,A+,0,0,1,0,114,94
F.W.,female,1987-03-17,Tue,184,A−,1,1,1,0,102,100
K.Z.,female,1963-02-21,Thu,153,O+,0,1,0,NA,92,102
O.X.,female,1966-06-09,Thu,161,A+,0,1,0,0,98,101
S.G.,female,1975-08-17,Sun,156,A−,1,1,0,1,104,108
A.M.,male,1961-05-31,Wed,164,A+,1,1,1,0,105,114
W.G.,male,1983-11-06,Sun,175,O+,1,0,0,1,107,99
R.W.,female,1952-07-25,Fri,141,A+,1,1,0,0,104,108
X.K.,female,1941-09-04,Thu,160,O+,1,1,1,1,102,104
W.N.,male,1951-11-19,Mon,176,A+,1,1,0,0,96,99
T.Y.,female,1989-09-11,Mon,157,O−,1,1,0,1,101,109
O.I.,female,1978-06-08,Thu,157,A+,1,1,0,0,91,118
T.L.,female,1950-06-23,Fri,165,A+,0,0,0,0,94,109
M.M.,female,1976-09-27,Mon,157,O+,0,1,0,1,110,90
T.C.,female,1938-09-01,Thu,151,O+,0,1,1,0,122,100
Q.K.,female,1978-10-26,Thu,172,O+,1,1,0,0,98,106
U.Q.,female,1977-09-25,Sun,156,O+,1,1,0,1,127,84
G.R.,female,2000-04-08,Sat,153,O+,0,0,1,0,125,92
J.X.,female,1945-11-23,Fri,164,O+,0,0,0,0,98,NA
R.Y.,female,1933-03-23,Thu,159,A−,0,1,0,NA,97,102
D.Z.,male,1983-05-29,Sun,180,A+,1,0,0,0,110,91
J.G.,female,1935-07-28,Sun,149,B+,1,1,0,0,105,105
Q.T.,male,1968-05-27,Mon,154,O+,1,1,0,0,97,95
Z.Y.,male,1990-02-25,Sun,156,A+,0,0,1,1,93,100
U.I.,female,1984-03-10,Sat,162,B−,1,1,0,0,95,97
C.F.,female,1933-11-14,Tue,146,B+,1,1,1,1,92,103
A.P.,female,1993-05-07,Fri,173,O+,1,1,0,0,104,111
E.D.,female,1988-05-24,Tue,161,A+,1,1,NA,1,107,100
D.X.,female,1962-10-31,Wed,172,A+,0,1,0,1,96,113
G.O.,female,1985-05-13,Mon,163,A+,1,1,1,1,106,109
Q.D.,female,1962-03-08,Thu,162,A+,1,0,0,0,92,110
W.H.,female,1971-10-21,Thu,161,A+,0,1,1,1,111,120
O.W.,female,1945-08-02,Thu,160,A+,0,0,1,0,91,105
Q.K.,female,1966-10-19,Wed,161,A+,0,1,1,0,93,118
A.J.,female,1984-04-13,Fri,163,A+,1,0,1,0,98,102
S.H.,female,1985-01-02,Wed,159,O+,1,1,0,1,112,106
U.U.,male,1970-01-15,Thu,162,AB+,1,0,0,0,95,95
F.J.,female,1959-08-04,Tue,171,O+,0,0,0,1,94,90
I.X.,female,1968-09-05,Thu,147,A+,0,1,0,0,104,97
K.V.,male,1990-02-11,Sun,193,A+,1,1,0,0,105,103
I.D.,male,1951-06-05,Tue,161,O+,0,0,0,1,96,99
Q.R.,male,1939-04-02,Sun,155,O+,NA,0,1,1,96,107
H.E.,male,1959-11-03,Tue,166,A+,1,0,1,0,NA,97
I.D.,male,1978-12-16,Sat,164,O+,1,0,0,0,107,109
G.Y.,female,1988-06-01,Wed,163,O+,0,0,1,0,97,89
U.L.,female,1997-03-30,Sun,172,O−,0,1,1,0,115,95
C.X.,female,1998-10-31,Sat,153,A+,1,1,0,0,102,115
V.F.,female,1974-04-06,Sat,148,O−,1,1,0,1,121,92
P.B.,male,1973-11-10,Sat,158,O+,0,0,1,0,108,106
M.U.,female,1992-10-14,Wed,166,O+,1,1,0,0,95,110
P.I.,male,1983-09-27,Tue,191,A+,1,1,0,0,96,86
Z.M.,female,1981-10-09,Fri,164,A+,0,1,1,1,104,110
R.T.,female,1939-07-29,Sat,154,A+,1,1,1,1,111,86
X.L.,female,1963-10-19,Sat,157,O+,0,1,0,0,103,108
T.T.,female,1961-09-01,Fri,145,O+,1,0,1,0,107,98
L.J.,male,1966-01-19,Wed,174,O+,0,1,1,1,101,105
C.F.,male,1947-03-02,Sun,188,A+,0,0,0,0,100,105
X.X.,male,1992-12-07,Mon,187,B+,0,1,1,0,93,103
Q.J.,female,1973-03-24,Sat,154,O+,1,1,0,1,119,112
R.K.,male,1942-04-29,Wed,165,O+,1,0,1,0,100,96
R.X.,female,1999-07-24,Sat,176,A+,1,0,1,0,98,110
K.D.,female,1947-12-02,Tue,162,A+,1,1,1,0,120,106
J.M.,male,1966-04-03,Sun,166,A−,1,1,1,1,132,83
G.D.,female,1960-10-28,Fri,167,O+,0,1,1,0,103,107
A.Q.,male,1980-01-24,Thu,177,O+,1,0,1,1,103,101
B.D.,female,1992-09-03,Thu,175,O+,1,1,1,1,113,104
Y.G.,male,1988-12-07,Wed,162,AB+,0,0,0,0,98,95
A.Z.,male,1991-04-29,Mon,169,A+,0,0,1,0,94,103
Q.S.,female,1932-05-09,Mon,163,A−,1,1,0,0,112,95
S.V.,female,1962-11-24,Sat,154,A+,1,1,0,0,115,103
D.R.,female,1957-04-11,Thu,150,O+,0,1,1,0,111,90
W.Z.,female,1980-10-24,Fri,159,O+,0,1,0,0,95,119
H.D.,male,1960-05-02,Mon,169,O+,0,0,1,0,97,117
N.V.,male,1952-11-03,Mon,177,O+,1,1,1,0,112,96
X.J.,male,1949-08-29,Mon,172,A−,0,1,0,0,90,87
I.V.,male,1979-04-11,Wed,165,A+,0,0,0,0,90,109
L.S.,female,1953-10-11,Sun,178,O+,0,0,0,1,100,117
X.A.,male,1932-09-08,Thu,164,O+,1,1,0,0,100,89
M.K.,male,1997-03-11,Tue,156,A−,1,1,0,0,90,91
I.R.,female,1975-01-22,Wed,157,AB+,1,1,1,1,103,105
W.C.,male,1980-05-04,Sun,186,B+,1,0,0,0,97,88
I.Y.,male,1972-07-24,Mon,167,O+,0,1,1,0,101,95
X.R.,female,1960-12-07,Wed,161,O−,NA,1,0,1,96,90
J.A.,male,1936-07-28,Tue,132,A+,0,0,1,0,95,83
S.M.,male,1965-11-12,Fri,158,A+,1,0,1,1,108,101
A.O.,male,1993-06-03,Thu,188,A+,1,1,1,0,116,81
C.J.,male,1975-02-18,Tue,176,A+,0,0,1,1,97,92
Z.C.,female,1964-12-17,Thu,149,A+,1,1,1,0,85,115
U.C.,female,1963-01-16,Wed,148,A+,1,1,0,1,108,111
W.Z.,female,1996-01-17,Wed,172,O+,1,0,1,0,95,109
P.R.,male,1936-02-23,Sun,175,A+,1,0,1,0,113,108
M.H.,male,1999-01-10,Sun,170,O+,1,1,1,0,104,94
A.R.,female,1995-12-19,Tue,165,O+,0,1,1,0,95,106
O.P.,female,1934-10-05,Fri,142,B+,0,1,0,0,95,107
I.X.,male,1957-08-15,Thu,169,O+,0,0,1,1,81,102
X.Z.,female,1984-11-08,Thu,161,A+,0,0,1,0,102,105
I.Y.,male,1940-01-17,Wed,155,O−,1,0,0,0,96,77
X.R.,male,1963-05-07,Tue,181,A−,0,0,1,0,88,93
U.P.,male,1956-07-20,Fri,181,B+,1,1,0,0,102,93
U.C.,male,1955-05-28,Sat,166,O+,1,1,1,0,98,99
G.S.,female,1972-05-03,Wed,165,A+,1,1,0,0,101,108
A.Q.,male,1947-12-03,Wed,175,O−,0,0,0,NA,94,83
R.L.,male,1952-03-10,Mon,173,O+,1,1,1,0,100,101
R.A.,male,1950-11-02,Thu,188,O+,0,0,1,0,99,96
B.H.,female,1939-08-01,Tue,152,B+,0,1,1,1,98,105
M.U.,male,1980-09-06,Sat,173,O+,1,0,0,1,102,101
J.X.,female,1938-07-14,Thu,166,O−,0,1,0,1,92,97
N.H.,male,1948-11-13,Sat,184,O+,1,1,0,0,91,111
G.P.,female,1943-12-28,Tue,158,O+,0,1,1,NA,80,117
J.S.,male,1931-12-13,Sun,166,O+,1,1,1,0,121,100
D.P.,female,1973-10-01,Mon,148,B+,0,1,1,0,97,NA
V.J.,female,1958-10-07,Tue,149,O+,0,1,1,0,102,125
I.U.,female,1958-05-30,Fri,155,A+,0,1,0,1,108,103
G.V.,female,1946-01-18,Fri,149,O+,1,1,1,0,NA,114
T.I.,male,2000-02-23,Wed,201,O+,1,0,0,0,97,92
L.K.,female,1967-09-07,Thu,158,O+,0,0,0,0,90,107
I.D.,female,1968-11-17,Sun,165,O−,1,0,0,0,111,103
X.D.,male,1983-11-18,Fri,169,O+,1,0,1,0,99,98
